"id","description","displayName"
"31392ffb-586c-42d1-9346-e59415a2cc4e","Can create or update Exchange Online recipients within the Exchange Online organization.","Exchange Recipient Administrator"
"45d8d3c5-c802-45c6-b32a-1d70b5e1e86e","Manage access using Microsoft Entra ID for identity governance scenarios.","Identity Governance Administrator"
"892c5842-a9a6-463a-8041-72aa08ca3cf6","Can manage all aspects of the Cloud App Security product.","Cloud App Security Administrator"
"32696413-001a-46ae-978c-ce0f6b3620d2","Can create and manage all aspects of Windows Update deployments through the Windows Update for Business deployment service.","Windows Update Deployment Administrator"
"11451d60-acb2-45eb-a7d6-43d0f0125c13","Can provision and manage all aspects of Cloud PCs.","Windows 365 Administrator"
"3f1acade-1e04-4fbc-9b69-f0302cd84aef","Manage all aspects of Microsoft Edge.","Edge Administrator"
"810a2642-a034-447f-a5e8-41beaa378541","Manage all aspects of Yammer.","Yammer Administrator"
"25a516ed-2fa0-40ea-a2d0-12923a21473a","Customize sign in and sign up experiences for users by creating and managing custom authentication extensions.","Authentication Extensibility Administrator"
"e300d9e7-4a2b-4295-9eff-f1c78b36cc98","Manage and share Virtual Visits information and metrics from admin centers or the Virtual Visits app.","Virtual Visits Administrator"
"25df335f-86eb-4119-b717-0ff02de207e9","Access the analytical capabilities in Microsoft Viva Insights and run custom queries.","Insights Analyst"
"1501b917-7653-4ff9-a4b5-203eaf33784f","Create and manage all aspects warranty claims and entitlements for Microsoft manufactured hardware, like Surface and HoloLens.","Microsoft Hardware Warranty Administrator"
"281fe777-fb20-4fbb-b7a3-ccebce5b0d96","Create and read warranty claims for Microsoft manufactured hardware, like Surface and HoloLens.","Microsoft Hardware Warranty Specialist"
"112ca1a2-15ad-4102-995e-45b0bc479a6a","Create new Microsoft Entra or Azure AD B2C tenants.","Tenant Creator"
"59d46f88-662b-457b-bceb-5c3809e5908f","Create and manage all aspects of workflows and tasks associated with Lifecycle Workflows in Microsoft Entra ID.","Lifecycle Workflows Administrator"
"92b086b3-e367-4ef2-b869-1de128fb986e","Manage and configure all aspects of Microsoft Viva Goals.","Viva Goals Administrator"
"27460883-1df1-4691-b032-3b79643e5e63","View product feedback, survey results, and reports to find training and communication opportunities.","User Experience Success Manager"
"af78dc32-cf4d-46f9-ba4e-4428526346b5","Manage all aspects of Entra Permissions Management.","Permissions Management Administrator"
"507f53e4-4e52-4077-abd3-d2e1558b6ea2","Write, publish, manage, and review the organizational messages for end-users through Microsoft product surfaces.","Organizational Messages Writer"
"ac434307-12b9-4fa1-a708-88bf58caabc1","Create and manage all aspects of Global Secure Internet Access and Microsoft Global Secure Private Access, including managing access to public and private endpoints.","Global Secure Access Administrator"
"87761b17-1ed2-4af3-9acd-92a150038160","Can manage all settings for Microsoft Viva Pulse app","Viva Pulse Administrator"
"dd13091a-6207-4fc0-82ba-3641e056ab95","Manage all aspects of external user profiles in the extended directory for Teams.","Extended Directory User Administrator"
"5b784334-f94b-471a-a387-e7219fc49ca2","Read audit logs and configure diagnostic settings for events related to custom security attributes.","Attribute Log Administrator"
"9c99539d-8186-4804-835f-fd51ef9e2dcd","Read audit logs related to custom security attributes.","Attribute Log Reader"
"aa38014f-0993-46e9-9b45-30501a20909d","Manage voice and telephony features and troubleshoot communication issues within the Microsoft Teams service.","Teams Telephony Administrator"
"963797fb-eb3b-4cde-8ce3-5878b3f32a3f","Access and perform all administrative tasks on Dynamics 365 Business Central environments.","Dynamics 365 Business Central Administrator"
"8c8b803f-96e1-4129-9349-20738d9f9652","Perform all migration functionality to migrate content to Microsoft 365 using Migration Manager.","Microsoft 365 Migration Administrator"
"1a7d78b6-429f-476b-b8eb-35fb715fffd4","Manage all aspects of SharePoint Embedded containers.","SharePoint Embedded Administrator"
"92ed04bf-c94a-4b82-9729-b799a7a4c178","Manage all aspects of organizational branding in a tenant.","Organizational Branding Administrator"
"e48398e2-f4bb-4074-8f31-4586725e205b","Can review and approve Organizational Messages before they are activated for delivery to end users.","Organizational Messages Approver"
