"id","Description","Name"
"9106cda0-8a86-4e81-b686-29a22c54effe","Lets you manage ClearDB MySQL databases, but not access to them.","ClearDB MySQL DB Contributor"
"d73bb868-a0df-4d4d-bd69-98a00b01fccb","Lets you manage classic virtual machines, but not access to them, and not the virtual network or storage account they’re connected to.","Classic Virtual Machine Contributor"
"a97b65f3-24c7-4388-baec-2e87135dc908","Lets you read and list keys of Cognitive Services.","Cognitive Services User"
"b59867f0-fa02-499b-be73-45a86b5b3e1c","Lets you read Cognitive Services data.","Cognitive Services Data Reader"
"25fbc0a9-bd7c-42a3-aa1a-3b75d497ee68","Lets you create, read, update, delete and manage keys of Cognitive Services.","Cognitive Services Contributor"
"db7b14f2-5adf-42da-9f96-f2ee17bab5cb","Can submit restore request for a Cosmos DB database or a container for an account","CosmosBackupOperator"
"b24988ac-6180-42a0-ab88-20f7382dd24c","Grants full access to manage all resources, but does not allow you to assign roles in Azure RBAC, manage assignments in Azure Blueprints, or share image galleries.","Contributor"
"fbdf93bf-df7d-467e-a4d2-9458aa1360c8","Can read Azure Cosmos DB Accounts data","Cosmos DB Account Reader Role"
"434105ed-43f6-45c7-a02f-909b2ba83430","Can view costs and manage cost configuration (e.g. budgets, exports)","Cost Management Contributor"
"72fafb9e-0641-4937-9268-a91bfd8191a3","Can view cost data and configuration (e.g. budgets, exports)","Cost Management Reader"
"add466c9-e687-43fc-8d98-dfcf8d720be5","Lets you manage everything under Data Box Service except giving access to others.","Data Box Contributor"
"028f4ed7-e2a9-465e-a8f4-9c0ffdfdc027","Lets you manage Data Box Service except creating order or editing order details and giving access to others.","Data Box Reader"
"673868aa-7521-48a0-acc6-0f60742d39f5","Create and manage data factories, as well as child resources within them.","Data Factory Contributor"
"150f5e0c-0603-4f03-8c7f-cf70034c4e90","Can purge analytics data","Data Purger"
"47b7735b-770e-4598-a7da-8b91488b4c88","Lets you submit, monitor, and manage your own jobs but not create or delete Data Lake Analytics accounts.","Data Lake Analytics Developer"
"76283e04-6283-4c54-8f91-bcf1374a3c64","Lets you connect, start, restart, and shutdown your virtual machines in your Azure DevTest Labs.","DevTest Labs User"
"5bd9cd88-fe45-4216-938b-f97437e15450","Lets you manage DocumentDB accounts, but not access to them.","DocumentDB Account Contributor"
"befefa01-2a29-4197-83a8-272ff33ce314","Lets you manage DNS zones and record sets in Azure DNS, but does not let you control who has access to them.","DNS Zone Contributor"
"428e0ff0-5e57-4d9c-a221-2c70d0e0a443","Lets you manage EventGrid event subscription operations.","EventGrid EventSubscription Contributor"
"2414bbcf-6497-4faf-8c65-045460748405","Lets you read EventGrid event subscriptions.","EventGrid EventSubscription Reader"
"b60367af-1334-4454-b71e-769d9a4f83d9","Create and manage all aspects of the Enterprise Graph - Ontology, Schema mapping, Conflation and Conversational AI and Ingestions","Graph Owner"
"8d8d5a11-05d3-4bda-a417-a08778121c7c","Can Read, Create, Modify and Delete Domain Services related operations needed for HDInsight Enterprise Security Package","HDInsight Domain Services Contributor"
"03a6d094-3444-4b3d-88af-7477090a9e5e","Lets you manage Intelligent Systems accounts, but not access to them.","Intelligent Systems Account Contributor"
"f25e0fa2-a7c8-4377-a976-54943a77a395","Lets you manage key vaults, but not access to them.","Key Vault Contributor"
"ee361c5d-f7b5-4119-b4b6-892157c8f64c","Knowledge Read permission to consume Enterprise Graph Knowledge using entity search and graph query","Knowledge Consumer"
"b97fb8bc-a8b2-4522-a38b-dd33c7e65ead","Lets you create new labs under your Azure Lab Accounts.","Lab Creator"
"73c42c96-874c-492b-b04d-ab87d138a893","Log Analytics Reader can view and search all monitoring data as well as and view monitoring settings, including viewing the configuration of Azure diagnostics on all Azure resources.","Log Analytics Reader"
"92aaf0da-9dab-42b6-94a3-d43ce8d16293","Log Analytics Contributor can read all monitoring data and edit monitoring settings. Editing monitoring settings includes adding the VM extension to VMs; reading storage account keys to be able to configure collection of logs from Azure Storage; adding solutions; and configuring Azure diagnostics on all Azure resources.","Log Analytics Contributor"
"515c2055-d9d4-4321-b1b9-bd0c9a0f79fe","Lets you read, enable and disable logic app.","Logic App Operator"
"87a39d53-fc1b-424a-814c-f7e04687dc9e","Lets you manage logic app, but not access to them.","Logic App Contributor"
"c7393b34-138c-406f-901b-d8cf2b17e6ae","Lets you read and perform actions on Managed Application resources","Managed Application Operator Role"
"b9331d33-8a36-4f8c-b097-4f54124fdb44","Lets you read resources in a managed app and request JIT access.","Managed Applications Reader"
"f1a07417-d97a-45cb-824c-7a7467783830","Read and Assign User Assigned Identity","Managed Identity Operator"
"e40ec5ca-96e0-45a2-b4ff-59039f2c2b59","Create, Read, Update, and Delete User Assigned Identity","Managed Identity Contributor"
"5d58bcaf-24a5-4b20-bdb6-eed9f69fbe4c","Management Group Contributor Role","Management Group Contributor"
"ac63b705-f282-497d-ac71-919bf39d939d","Management Group Reader Role","Management Group Reader"
"43d0d8ad-25c7-4714-9337-8ba259a9fe05","Can read all monitoring data.","Monitoring Reader"
"4d97b98b-1d4f-4787-a291-c67834d212e7","Lets you manage networks, but not access to them.","Network Contributor"
"5d28c62d-5b37-4476-8438-e587778df237","Lets you manage New Relic Application Performance Management accounts and applications, but not access to them.","New Relic APM Account Contributor"
"8e3af657-a8ff-443c-a75c-2fe8c4bcb635","Grants full access to manage all resources, including the ability to assign roles in Azure RBAC.","Owner"
"acdd72a7-3385-48ef-bd42-f606fba81ae7","View all resources, but does not allow you to make any changes.","Reader"
"e0f68234-74aa-48ed-b826-c38b57376e17","Lets you manage Redis caches, but not access to them.","Redis Cache Contributor"
"c12c1c16-33a1-487b-954d-41c89c60f349","Lets you view everything but will not let you delete or create a storage account or contained resource. It will also allow read/write access to all data contained in a storage account via access to storage account keys.","Reader and Data Access"
"36243c78-bf99-498c-9df9-86d9f8d28608","Users with rights to create/modify resource policy, create support ticket and read resources/hierarchy.","Resource Policy Contributor"
"188a0f2f-5c9e-469b-ae67-2aa5ce574b94","Lets you manage Scheduler job collections, but not access to them.","Scheduler Job Collections Contributor"
"7ca78c08-252a-4471-8644-bb5ff32d4ba0","Lets you manage Search services, but not access to them.","Search Service Contributor"
"e3d13bf0-dd5a-482e-ba6b-9b8433878d10","This is a legacy role. Please use Security Administrator instead","Security Manager (Legacy)"
"39bc4728-0917-49c7-9d2c-d95423bc2eb4","Security Reader Role","Security Reader"
"8bbe83f1-e2a6-4df7-8cb4-4e04d4e5c827","Lets you manage spatial anchors in your account, but not delete them","Spatial Anchors Account Contributor"
"6670b86e-a3f7-4917-ac9b-5d6ab1be4567","Lets you manage Site Recovery service except vault creation and role assignment","Site Recovery Contributor"
"494ae006-db33-4328-bf46-533a6560a3ca","Lets you failover and failback but not perform other Site Recovery management operations","Site Recovery Operator"
"5d51204f-eb77-4b1c-b86a-2ec626c49413","Lets you locate and read properties of spatial anchors in your account","Spatial Anchors Account Reader"
"dbaa88c4-0c30-4179-9fb3-46319faa6149","Lets you view Site Recovery status but not perform other management operations","Site Recovery Reader"
"70bbe301-9835-447d-afdd-19eb3167307c","Lets you manage spatial anchors in your account, including deleting them","Spatial Anchors Account Owner"
"4939a1f6-9ae0-4e48-a1e0-f2cbe897382d","Lets you manage SQL Managed Instances and required network configuration, but can’t give access to others.","SQL Managed Instance Contributor"
"9b7fa17d-e63e-47b0-bb0a-15c516ac86ec","Lets you manage SQL databases, but not access to them. Also, you can't manage their security-related policies or their parent SQL servers.","SQL DB Contributor"
"056cd41c-7e88-42e1-933e-88ba6a50c9c3","Lets you manage the security-related policies of SQL servers and databases, but not access to them.","SQL Security Manager"
"17d1049b-9a84-46fb-8f53-869881c3d3ab","Lets you manage storage accounts, including accessing storage account keys which provide full access to storage account data.","Storage Account Contributor"
"6d8ee4ec-f05a-4a1d-8b00-a9b17e38b437","Lets you manage SQL servers and databases, but not access to them, and not their security -related policies.","SQL Server Contributor"
"81a9662b-bebf-436f-a333-f67b29880f12","Storage Account Key Operators are allowed to list and regenerate keys on Storage Accounts","Storage Account Key Operator Service Role"
"ba92f5b4-2d11-453d-a403-e96b0029c9fe","Allows for read, write and delete access to Azure Storage blob containers and data","Storage Blob Data Contributor"
"b7e6dc6d-f1e8-4753-8033-0f276bb0955b","Allows for full access to Azure Storage blob containers and data, including assigning POSIX access control.","Storage Blob Data Owner"
"2a2b9908-6ea1-4ae2-8e65-a410df84e7d1","Allows for read access to Azure Storage blob containers and data","Storage Blob Data Reader"
"974c5e8b-45b9-4653-ba55-5f855dd0fb88","Allows for read, write, and delete access to Azure Storage queues and queue messages","Storage Queue Data Contributor"
"8a0f0c08-91a1-4084-bc3d-661d67233fed","Allows for peek, receive, and delete access to Azure Storage queue messages","Storage Queue Data Message Processor"
"c6a89b2d-59bc-44d0-9896-0f6e12d7b80a","Allows for sending of Azure Storage queue messages","Storage Queue Data Message Sender"
"19e7f393-937e-4f77-808e-94535e297925","Allows for read access to Azure Storage queues and queue messages","Storage Queue Data Reader"
"cfd33db0-3dd1-45e3-aa9d-cdbdf3b6f24e","Lets you create and manage Support requests","Support Request Contributor"
"a4b10055-b0c7-44c2-b00f-c7b5b3550cf7","Lets you manage Traffic Manager profiles, but does not let you control who has access to them.","Traffic Manager Contributor"
"18d7d88d-d35e-4fb5-a5c3-7773c20a72d9","Lets you manage user access to Azure resources.","User Access Administrator"
"9980e02c-c2be-4d73-94e8-173b1dc7cf3c","Lets you manage virtual machines, but not access to them, and not the virtual network or storage account they're connected to.","Virtual Machine Contributor"
"2cc479cb-7b4d-49a8-b449-8c00fd0f0a4b","Lets you manage the web plans for websites, but not access to them.","Web Plan Contributor"
"de139f84-1756-47ae-9be6-808fbbe84772","Lets you manage websites (not web plans), but not access to them.","Website Contributor"
"090c5cfd-751d-490a-894a-3ce6f1109419","Allows for full access to Azure Service Bus resources.","Azure Service Bus Data Owner"
"f526a384-b230-433a-b45c-95f59c4a2dec","Allows for full access to Azure Event Hubs resources.","Azure Event Hubs Data Owner"
"bbf86eb8-f7b4-4cce-96e4-18cddf81d86e","Can read write or delete the attestation provider instance","Attestation Contributor"
"61ed4efc-fab3-44fd-b111-e24485cc132a","Lets you read and modify HDInsight cluster configurations.","HDInsight Cluster Operator"
"230815da-be43-4aae-9cb4-875f7bd000aa","Lets you manage Azure Cosmos DB accounts, but not access data in them. Prevents access to account keys and connection strings.","Cosmos DB Operator"
"48b40c6e-82e0-4eb3-90d5-19e40f49b624","Can read, write, delete, and re-onboard Hybrid servers to the Hybrid Resource Provider.","Hybrid Server Resource Administrator"
"5d1e5ee4-7c68-4a71-ac8b-0739630a3dfb","Can onboard new Hybrid servers to the Hybrid Resource Provider.","Hybrid Server Onboarding"
"a638d3c7-ab3a-418d-83e6-5f17a39d4fde","Allows receive access to Azure Event Hubs resources.","Azure Event Hubs Data Receiver"
"2b629674-e913-4c01-ae53-ef4638d8f975","Allows send access to Azure Event Hubs resources.","Azure Event Hubs Data Sender"
"4f6d3b9b-027b-4f4c-9142-0e5a2a2247e0","Allows for receive access to Azure Service Bus resources.","Azure Service Bus Data Receiver"
"69a216fc-b8fb-44d8-bc22-1f3c2cd27a39","Allows for send access to Azure Service Bus resources.","Azure Service Bus Data Sender"
"aba4ae5f-2193-4029-9191-0cb91df5e314","Allows for read access to Azure File Share over SMB","Storage File Data SMB Share Reader"
"0c867c2a-1d8c-454a-a3db-ab2ea1bdc8bb","Allows for read, write, and delete access in Azure Storage file shares over SMB","Storage File Data SMB Share Contributor"
"b12aa53e-6015-4669-85d0-8515ebb3ae7f","Lets you manage private DNS zone resources, but not the virtual networks they are linked to.","Private DNS Zone Contributor"
"db58b8e5-c6ad-4a2a-8342-4190687cbf4a","Allows for generation of a user delegation key which can be used to sign SAS tokens","Storage Blob Delegator"
"1d18fff3-a72a-46b5-b4a9-0b38a3cd7e63","Allows user to use the applications in an application group.","Desktop Virtualization User"
"a7264617-510b-434b-a828-9731dc254ea7","Allows for read, write, delete and modify NTFS permission access in Azure Storage file shares over SMB","Storage File Data SMB Share Elevated Contributor"
"41077137-e803-4205-871c-5a86e6a753b4","Can manage blueprint definitions, but not assign them.","Blueprint Contributor"
"437d2ced-4a38-4302-8479-ed2bcb43d090","Can assign existing published blueprints, but cannot create new blueprints. NOTE: this only works if the assignment is done with a user-assigned managed identity.","Blueprint Operator"
"ab8e14d6-4a74-4a29-9ba8-549422addade","Microsoft Sentinel Contributor","Microsoft Sentinel Contributor"
"3e150937-b8fe-4cfb-8069-0eaf05ecd056","Microsoft Sentinel Responder","Microsoft Sentinel Responder"
"8d289c81-5878-46d4-8554-54e1e3d8b5cb","Microsoft Sentinel Reader","Microsoft Sentinel Reader"
"66bb4e9e-b016-4a94-8249-4c0511c2be84","Allows read access to resource policies and write access to resource component policy events.","Policy Insights Data Writer (Preview)"
"04165923-9d83-45d5-8227-78b77b0a687e","Read SignalR Service Access Keys","SignalR AccessKey Reader"
"8cf5e20a-e4b2-4e9d-b3a1-5ceb692c2761","Create, Read, Update, and Delete SignalR service resources","SignalR/Web PubSub Contributor"
"b64e21ea-ac4e-4cdf-9dc9-5b892992bee7","Can onboard Azure Connected Machines.","Azure Connected Machine Onboarding"
"91c1777a-f3dc-4fae-b103-61d183457e46","Managed Services Registration Assignment Delete Role allows the managing tenant users to delete the registration assignment assigned to their tenant.","Managed Services Registration assignment Delete Role"
"5ae67dd6-50cb-40e7-96ff-dc2bfa4b606b","Allows full access to App Configuration data.","App Configuration Data Owner"
"516239f1-63e1-4d78-a4de-a74fb236a071","Allows read access to App Configuration data.","App Configuration Data Reader"
"34e09817-6cbe-4d01-b1a2-e0eac5743d41","Role definition to authorize any user/service to create connectedClusters resource","Kubernetes Cluster - Azure Arc Onboarding"
"7f646f1b-fa08-80eb-a22b-edd6ce5c915c","Experimentation Contributor","Experimentation Contributor"
"466ccd10-b268-4a11-b098-b4849f024126","Let’s you read and test a KB only.","Cognitive Services QnA Maker Reader"
"f4cc2bf9-21be-47a1-bdf1-5c5804381025","Let’s you create, edit, import and export a KB. You cannot publish or delete a KB.","Cognitive Services QnA Maker Editor"
"7f646f1b-fa08-80eb-a33b-edd6ce5c915c","Experimentation Administrator","Experimentation Administrator"
"3df8b902-2a6f-47c7-8cc5-360e9b272a7e","Provides user with conversion, manage session, rendering and diagnostics capabilities for Azure Remote Rendering","Remote Rendering Administrator"
"d39065c4-c120-43c9-ab0a-63eed9795f0a","Provides user with manage session, rendering and diagnostics capabilities for Azure Remote Rendering.","Remote Rendering Client"
"641177b8-a67a-45b9-a033-47bc880bb21e","Allows for creating managed application resources.","Managed Application Contributor Role"
"612c2aa1-cb24-443b-ac28-3ab7272de6f5","Lets you push assessments to Security Center","Security Assessment Contributor"
"4a9ae827-6dc8-4573-8ac7-8239d42aa03f","Lets you manage tags on entities, without providing access to the entities themselves.","Tag Contributor"
"c7aa55d3-1abb-444a-a5ca-5e51e485d6ec","Allows developers to create and update workflows, integration accounts and API connections in integration service environments.","Integration Service Environment Developer"
"a41e2c5b-bd99-4a07-88f4-9bf657a760b8","Lets you manage integration service environments, but not access to them.","Integration Service Environment Contributor"
"ed7f3fbd-7b88-4dd4-9017-9adb7ce333f8","Grants access to read and write Azure Kubernetes Service clusters","Azure Kubernetes Service Contributor Role"
"d57506d4-4c8d-48b1-8587-93c323f6a5a3","Read-only role for Digital Twins data-plane properties","Azure Digital Twins Data Reader"
"bcd981a7-7f74-457b-83e1-cceb9e632ffe","Full access role for Digital Twins data-plane","Azure Digital Twins Data Owner"
"350f8d15-c687-4448-8ae1-157740a3936d","Allows users to edit and delete Hierarchy Settings","Hierarchy Settings Administrator"
"5a1fc7df-4bf1-4951-a576-89034ee01acd","Role allows user or principal full access to FHIR Data","FHIR Data Contributor"
"3db33094-8700-4567-8da5-1501d4e7e843","Role allows user or principal to read and export FHIR Data","FHIR Data Exporter"
"4c8d0bbc-75d3-4935-991f-5f3c56d81508","Role allows user or principal to read FHIR Data","FHIR Data Reader"
"3f88fce4-5892-4214-ae73-ba5294559913","Role allows user or principal to read and write FHIR Data","FHIR Data Writer"
"49632ef5-d9ac-41f4-b8e7-bbe587fa74a1","Experimentation Reader","Experimentation Reader"
"4dd61c23-6743-42fe-a388-d8bdd41cb745","Provides user with ingestion capabilities for Azure Object Understanding.","Object Understanding Account Owner"
"8f5e0ce6-4f7b-4dcf-bddf-e6f48634a204","Grants access to read, write, and delete access to map related data from an Azure maps account.","Azure Maps Data Contributor"
"c1ff6cc2-c111-46fe-8896-e0ef812ad9f3","Full access to the project, including the ability to view, create, edit, or delete projects.","Cognitive Services Custom Vision Contributor"
"5c4089e1-6d96-4d2f-b296-c1bc7137275f","Publish, unpublish or export models. Deployment can view the project but can’t update.","Cognitive Services Custom Vision Deployment"
"88424f51-ebe7-446f-bc41-7fa16989e96c","View, edit training images and create, add, remove, or delete the image tags. Labelers can view the project but can’t update anything other than training images and tags.","Cognitive Services Custom Vision Labeler"
"93586559-c37d-4a6b-ba08-b9f0940c2d73","Read-only actions in the project. Readers can’t create or update the project.","Cognitive Services Custom Vision Reader"
"0a5ae4ab-0d65-4eeb-be61-29fc9b54394b","View, edit projects and train the models, including the ability to publish, unpublish, export the models. Trainers can’t create or delete the project.","Cognitive Services Custom Vision Trainer"
"00482a5a-887f-4fb3-b363-3b7fe8e74483","Perform all data plane operations on a key vault and all objects in it, including certificates, keys, and secrets. Cannot manage key vault resources or manage role assignments. Only works for key vaults that use the 'Azure role-based access control' permission model.","Key Vault Administrator"
"12338af0-0e69-4776-bea7-57ae8d297424","Perform cryptographic operations using keys. Only works for key vaults that use the 'Azure role-based access control' permission model.","Key Vault Crypto User"
"b86a8fe4-44ce-4948-aee5-eccb2c155cd7","Perform any action on the secrets of a key vault, except manage permissions. Only works for key vaults that use the 'Azure role-based access control' permission model.","Key Vault Secrets Officer"
"4633458b-17de-408a-b874-0445c86b69e6","Read secret contents. Only works for key vaults that use the 'Azure role-based access control' permission model.","Key Vault Secrets User"
"a4417e6f-fecd-4de8-b567-7b0420556985","Perform any action on the certificates of a key vault, except manage permissions. Only works for key vaults that use the 'Azure role-based access control' permission model.","Key Vault Certificates Officer"
"21090545-7ca7-4776-b22c-e363652d74d2","Read metadata of key vaults and its certificates, keys, and secrets. Cannot read sensitive values such as secret contents or key material. Only works for key vaults that use the 'Azure role-based access control' permission model.","Key Vault Reader"
"e147488a-f6f5-4113-8e2d-b22465e65bf6","Read metadata of keys and perform wrap/unwrap operations. Only works for key vaults that use the 'Azure role-based access control' permission model.","Key Vault Crypto Service Encryption User"
"63f0a09d-1495-4db4-a681-037d84835eb4","Lets you view all resources in cluster/namespace, except secrets.","Azure Arc Kubernetes Viewer"
"5b999177-9696-4545-85c7-50de3797e5a1","Lets you update everything in cluster/namespace, except (cluster)roles and (cluster)role bindings.","Azure Arc Kubernetes Writer"
"8393591c-06b9-48a2-a542-1bd6b377f6a2","Lets you manage all resources in the cluster.","Azure Arc Kubernetes Cluster Admin"
"dffb1e0c-446f-4dde-a09f-99eb5cc68b96","Lets you manage all resources under cluster/namespace, except update or delete resource quotas and namespaces.","Azure Arc Kubernetes Admin"
"b1ff04bb-8a4e-4dc4-8eb5-8693973ce19b","Lets you manage all resources in the cluster.","Azure Kubernetes Service RBAC Cluster Admin"
"3498e952-d568-435e-9b2c-8d77e338d7f7","Lets you manage all resources under cluster/namespace, except update or delete resource quotas and namespaces.","Azure Kubernetes Service RBAC Admin"
"7f6c6a51-bcf8-42ba-9220-52d62157d7db","Allows read-only access to see most objects in a namespace. It does not allow viewing roles or role bindings. This role does not allow viewing Secrets, since reading the contents of Secrets enables access to ServiceAccount credentials in the namespace, which would allow API access as any ServiceAccount in the namespace (a form of privilege escalation). Applying this role at cluster scope will give access across all namespaces.","Azure Kubernetes Service RBAC Reader"
"a7ffa36f-339b-4b5c-8bdf-e2c188b2c0eb","Allows read/write access to most objects in a namespace.This role does not allow viewing or modifying roles or role bindings. However, this role allows accessing Secrets and running Pods as any ServiceAccount in the namespace, so it can be used to gain the API access levels of any ServiceAccount in the namespace. Applying this role at cluster scope will give access across all namespaces.","Azure Kubernetes Service RBAC Writer"
"82200a5b-e217-47a5-b665-6d8765ee745b","Services Hub Operator allows you to perform all read, write, and deletion operations related to Services Hub Connectors.","Services Hub Operator"
"d18777c0-1514-4662-8490-608db7d334b6","Lets you read ingestion jobs for an object understanding account.","Object Understanding Account Reader"
"fd53cd77-2268-407a-8f46-7e7863d0f521","Full access to Azure SignalR Service REST APIs","SignalR REST API Owner"
"daa9e50b-21df-454c-94a6-a8050adab352","Can manage data packages of a collaborative.","Collaborative Data Contributor"
"e9dba6fb-3d52-4cf0-bce3-f06ce71b9e0f","Gives you read access to management and content operations, but does not allow making changes","Device Update Reader"
"02ca0879-e8e4-47a5-a61e-5c618b76e64a","Gives you full access to management and content operations","Device Update Administrator"
"0378884a-3af5-44ab-8323-f5b22f9f3c98","Gives you full access to content operations","Device Update Content Administrator"
"d1ee9a80-8b14-47f0-bdc2-f4a351625a7b","Gives you read access to content operations, but does not allow making changes","Device Update Content Reader"
"cb43c632-a144-4ec5-977c-e80c4affc34a","Full access to the project, including the system level configuration.","Cognitive Services Metrics Advisor Administrator"
"3b20f47b-3825-43cb-8114-4bd2201156a8","Access to the project.","Cognitive Services Metrics Advisor User"
"2c56ea50-c6b3-40a6-83c0-9d98858bc7d2","Read and list Schema Registry groups and schemas.","Schema Registry Reader (Preview)"
"5dffeca3-4936-4216-b2bc-10343a5abb25","Read, write, and delete Schema Registry groups and schemas.","Schema Registry Contributor (Preview)"
"7ec7ccdc-f61e-41fe-9aaf-980df0a44eba","Provides read access to AgFood Platform Service","AgFood Platform Service Reader"
"8508508a-4469-4e45-963b-2518ee0bb728","Provides contribute access to AgFood Platform Service","AgFood Platform Service Contributor"
"f8da80de-1ff9-4747-ad80-a19b7f6079e3","Provides admin access to AgFood Platform Service","AgFood Platform Service Admin"
"18500a29-7fe2-46b2-a342-b16a415e101d","Lets you manage managed HSM pools, but not access to them.","Managed HSM contributor"
"0b555d9b-b4a7-4f43-b330-627f0e5be8f0","Allowed to create submissions to Security Detonation Chamber","Security Detonation Chamber Submitter"
"ddde6b66-c0df-4114-a159-3618637b3035","Read-only access to Azure SignalR Service REST APIs","SignalR REST API Reader"
"7e4f1700-ea5a-4f59-8f37-079cfe29dce3","Full access to Azure SignalR Service REST APIs","SignalR Service Owner"
"f7b75c60-3036-4b75-91c3-6b41c27c1689","Lets you purchase reservations","Reservation Purchaser"
"635dd51f-9968-44d3-b7fb-6d9a6bd613ae","Lets you write metrics to AzureML workspace","AzureML Metrics Writer (preview)"
"e5e2a7ff-d759-4cd2-bb51-3152d37e2eb1","Lets you perform backup and restore operations using Azure Backup on the storage account.","Storage Account Backup Contributor"
"6188b7c9-7d01-4f99-a59f-c88b630326c0","Allows for creation, writes and reads to the metric set via the metrics service APIs.","Experimentation Metric Contributor"
"9ef4ef9c-a049-46b0-82ab-dd8ac094c889","The Microsoft.ProjectBabylon data curator can create, read, modify and delete catalog data objects and establish relationships between objects. This role is in preview and subject to change.","Project Babylon Data Curator"
"c8d896ba-346d-4f50-bc1d-7d1c84130446","The Microsoft.ProjectBabylon data reader can read catalog data objects. This role is in preview and subject to change.","Project Babylon Data Reader"
"05b7651b-dc44-475e-b74d-df3db49fae0f","The Microsoft.ProjectBabylon data source administrator can manage data sources and data scans. This role is in preview and subject to change.","Project Babylon Data Source Administrator"
"ca6382a4-1721-4bcf-a114-ff0c70227b6b","Contributor of the Application Group.","Application Group Contributor"
"49a72310-ab8d-41df-bbb0-79b649203868","Reader of Desktop Virtualization.","Desktop Virtualization Reader"
"082f0a83-3be5-4ba1-904c-961cca79b387","Contributor of Desktop Virtualization.","Desktop Virtualization Contributor"
"21efdde3-836f-432b-bf3d-3e8e734d4b2b","Contributor of the Desktop Virtualization Workspace.","Desktop Virtualization Workspace Contributor"
"ea4bfff8-7fb4-485a-aadd-d4129a0ffaa6","Operator of the Desktop Virtualization User Session.","Desktop Virtualization User Session Operator"
"2ad6aaab-ead9-4eaa-8ac5-da422f562408","Operator of the Desktop Virtualization Session Host.","Desktop Virtualization Session Host Operator"
